match_id,date,round,home_team,away_team,team,opponent,team_id,official_team_xg,official_team_setplay_xg,official_team_openplay_xg,official_team_nonpenalty_xg,provider_nonpenalty_setplay_shots,provider_nonpenalty_setplay_shot_xg_raw_sum,provider_nonpenalty_setplay_goals,derived_all_restart_linked_shots,derived_all_restart_linked_xg_raw_sum,derived_linked_shots_classified_open_play_by_provider,source_ma12,source_last_updated,corner_events,free_kick_events,direct_free_kick_events,penalty_events,throw_in_events,goal_kick_events,keeper_throw_events
685ctqrly7ebtep6opggvxedw,2026-06-21,11,Fram,Víkingur R,Fram,Víkingur R,ta7x6ep3lniyckj6la77zw,0.283700,0.109800,0.173900,0.283700,3,0.109821,0,3,0.109821,0,fram_vikingur_r_2026_06_21_ma12.json,2026-09-06T22:48:31Z,5,5,0,0,31,9,2
685ctqrly7ebtep6opggvxedw,2026-06-21,11,Fram,Víkingur R,Víkingur R,Fram,7gmdb4hmtrz199zv9r66qy9qp,4.546800,0.799300,2.959100,3.758400,10,0.815338,0,14,1.931833,3,fram_vikingur_r_2026_06_21_ma12.json,2026-09-06T22:48:31Z,7,14,0,1,11,10,6
68nu39x3a81jlph4v61a7n1g4,2026-06-22,11,KR,ÍA,KR,ÍA,629yaod9sjr350jvivp78vwfz,2.947800,0.427900,2.519900,2.947800,8,0.427903,0,14,1.34217,7,kr_ia_2026_06_22_ma12.json,2026-09-06T22:48:31Z,6,16,1,0,23,11,6
68nu39x3a81jlph4v61a7n1g4,2026-06-22,11,KR,ÍA,ÍA,KR,9ar4wcltrggiz60w77e3z56m2,3.723800,1.563700,2.160000,3.723800,14,1.563744,1,17,2.189816,4,kr_ia_2026_06_22_ma12.json,2026-09-06T22:48:31Z,10,17,0,0,14,8,6
6b9g03097qx2lbm46vmzi6w44,2026-06-25,12,Breidablik,Víkingur R,Breidablik,Víkingur R,c6hu27u143y4z4te8b4036bae,0.522500,0.382900,0.139600,0.522500,2,0.362489,1,3,0.377842,1,breidablik_vikingur_r_2026_06_25_ma12.json,2026-09-06T22:48:32Z,2,15,0,0,22,11,5
6b9g03097qx2lbm46vmzi6w44,2026-06-25,12,Breidablik,Víkingur R,Víkingur R,Breidablik,7gmdb4hmtrz199zv9r66qy9qp,2.956200,0.531800,1.636000,2.167800,5,0.531784,0,9,1.386865,3,breidablik_vikingur_r_2026_06_25_ma12.json,2026-09-06T22:48:32Z,3,13,0,1,19,3,4
696dygy42096qjssicad7n28k,2026-06-28,12,Keflavík,KR,Keflavík,KR,96h322mg5vnaneem9fjzgvioq,1.993200,0.733700,1.259500,1.993200,10,0.733671,1,14,0.975432,4,keflavik_kr_2026_06_28_ma12.json,2026-09-06T22:48:32Z,4,17,1,0,21,9,8
696dygy42096qjssicad7n28k,2026-06-28,12,Keflavík,KR,KR,Keflavík,629yaod9sjr350jvivp78vwfz,1.997500,0.861000,1.136500,1.997500,7,0.861019,1,8,0.98537,1,keflavik_kr_2026_06_28_ma12.json,2026-09-06T22:48:32Z,4,11,0,0,17,10,4
69oowz76oepwc0wa3ly0hatqs,2026-06-28,12,Thór,Valur,Thór,Valur,dys496cnlmowm95ehcfgcrvbm,0.840700,0.442900,0.397800,0.840700,4,0.442915,0,4,0.442915,0,thor_valur_2026_06_28_ma12.json,2026-09-06T22:48:31Z,3,21,1,0,13,16,5
69oowz76oepwc0wa3ly0hatqs,2026-06-28,12,Thór,Valur,Valur,Thór,khmdmbol7850k3i07yusgpn,3.275800,2.196900,1.079000,3.275800,9,2.29025,3,9,2.29025,0,thor_valur_2026_06_28_ma12.json,2026-09-06T22:48:31Z,3,10,1,0,23,7,4
6a8qwmzaz5fj3wublas8ndyc4,2026-06-28,12,FH,ÍBV,FH,ÍBV,2ci0yr2esa7y4etjvl5vau077,1.355500,0.916800,0.438700,1.355500,11,0.916842,1,13,1.311367,2,fh_ibv_2026_06_28_ma12.json,2026-09-06T22:48:32Z,13,7,1,0,32,8,5
6a8qwmzaz5fj3wublas8ndyc4,2026-06-28,12,FH,ÍBV,ÍBV,FH,3tlx1zjkgrsdky3abrqe2c9c3,0.306100,0.061400,0.244700,0.306100,2,0.061396,0,4,0.20232,2,fh_ibv_2026_06_28_ma12.json,2026-09-06T22:48:32Z,2,13,0,0,31,5,7
6ar4cvn7u1nq0tav6l00f5qtw,2026-06-28,12,Stjarnan,KA,Stjarnan,KA,23vg6q15dzr375k6757j06wkq,2.719000,0.397000,2.322000,2.719000,7,0.397032,0,10,0.907989,3,stjarnan_ka_2026_06_28_ma12.json,2026-09-06T22:48:31Z,12,17,1,0,22,7,6
6ar4cvn7u1nq0tav6l00f5qtw,2026-06-28,12,Stjarnan,KA,KA,Stjarnan,4mo70a9j7p2ersbrieg5aw3dg,1.278900,0.613800,0.665100,1.278900,7,0.613835,0,12,0.791139,5,stjarnan_ka_2026_06_28_ma12.json,2026-09-06T22:48:31Z,8,12,1,0,15,11,9
6brzihl1d9t3702y1tjzsfvo4,2026-06-29,12,ÍA,Fram,ÍA,Fram,9ar4wcltrggiz60w77e3z56m2,0.372200,0.162000,0.210200,0.372200,2,0.161983,0,2,0.161983,0,ia_fram_2026_06_29_ma12.json,2026-09-06T22:48:31Z,5,13,0,0,29,11,4
6brzihl1d9t3702y1tjzsfvo4,2026-06-29,12,ÍA,Fram,Fram,ÍA,ta7x6ep3lniyckj6la77zw,2.616700,0.375500,1.452800,1.828300,2,0.375525,0,6,1.327366,3,ia_fram_2026_06_29_ma12.json,2026-09-06T22:48:31Z,6,9,0,1,17,11,4
6cc1tt9y7n9o738ij2dhlwtg4,2026-07-02,13,Víkingur R,KA,Víkingur R,KA,7gmdb4hmtrz199zv9r66qy9qp,3.157900,1.244100,1.125400,2.369500,11,1.244142,1,13,1.817002,2,vikingur_r_ka_2026_07_02_ma12.json,2026-09-06T22:48:31Z,14,15,0,1,19,4,6
